title,rating,key,added_at,release_date,local_file_size,remote_file_size,largest_file_size,server
Doctor Strange in the Multiverse of Madness,7.4,/library/metadata/229836,2022-06-23,2022-05-04,3.16 Go,3.95 Go,3.95 Go,Friend
Dogma,6.9,/library/metadata/235796,2022-08-26,1999-11-12,7.15 Go,3.22 Go,7.15 Go,Mine
Donjons & Dragons : L'Honneur des voleurs,7.4,/library/metadata/295316,2023-05-05,2023-03-24,2.28 Go,8.68 Go,8.68 Go,Friend
Dumbo,6.7,/library/metadata/227382,2022-05-31,2019-03-27,5.11 Go,2.41 Go,5.11 Go,Mine
Dune,7.8,/library/metadata/291395,2022-12-13,2021-09-15,4.62 Go,3.44 Go,4.62 Go,Mine
Dune : Deuxième partie,8.2,/library/metadata/314961,2024-05-06,2024-02-27,1.83 Go,2.27 Go,2.27 Go,Friend
En eaux très troubles,6.8,/library/metadata/305293,2023-10-19,2023-08-02,3.48 Go,6.97 Go,6.97 Go,Friend
Equalizer,7.2,/library/metadata/304425,2023-10-04,2014-09-24,6.64 Go,3.40 Go,6.64 Go,Mine
Equalizer 2,6.7,/library/metadata/304433,2023-10-05,2018-07-19,6.63 Go,4.27 Go,6.63 Go,Mine
Equalizer 3,7.4,/library/metadata/304360,2023-10-04,2023-08-30,2.78 Go,5.58 Go,5.58 Go,Friend
La Famille Addams,7.0,/library/metadata/294494,2023-05-05,1991-11-22,4.33 Go,1.52 Go,4.33 Go,Mine
Farador,6.8,/library/metadata/305475,2023-10-19,2023-04-21,5.30 Go,1.89 Go,5.30 Go,Mine
Fast & Furious 9,7.2,/library/metadata/294401,2023-05-05,2021-05-19,2.81 Go,2.37 Go,2.81 Go,Mine
Fast & Furious X,7.3,/library/metadata/305218,2023-10-19,2023-05-17,4.89 Go,2.43 Go,4.89 Go,Mine
Ferrari,6.9,/library/metadata/309512,2024-01-23,2023-12-14,3.05 Go,3.05 Go,3.05 Go,BOTH
Frankenweenie,6.9,/library/metadata/227247,2022-05-31,1984-12-21,0.44 Go,2.65 Go,2.65 Go,Friend
La French,7.1,/library/metadata/299358,2023-06-08,2014-12-03,2.71 Go,8.74 Go,8.74 Go,Friend
Gran Turismo,7.5,/library/metadata/304251,2023-09-26,2023-08-09,3.90 Go,7.22 Go,7.22 Go,Friend
Gravity,7.2,/library/metadata/254719,2022-09-09,2013-10-03,1.84 Go,7.94 Go,7.94 Go,Friend
Gremlins,7.1,/library/metadata/316637,2024-07-22,1984-06-08,7.95 Go,4.37 Go,7.95 Go,Mine
Harry Potter à l'école des sorciers,7.9,/library/metadata/235468,2022-08-15,2001-11-16,8.91 Go,2.53 Go,8.91 Go,Mine
Harry Potter et l'Ordre du Phénix,7.7,/library/metadata/235531,2022-08-15,2007-07-11,8.04 Go,2.04 Go,8.04 Go,Mine
Harry Potter et la Chambre des secrets,7.7,/library/metadata/235490,2022-08-15,2002-11-13,9.39 Go,2.42 Go,9.39 Go,Mine
Harry Potter et la Coupe de feu,7.8,/library/metadata/235527,2022-08-15,2005-11-16,9.14 Go,2.45 Go,9.14 Go,Mine
Harry Potter et le Prince de sang-mêlé,7.7,/library/metadata/235533,2022-08-15,2009-07-15,8.98 Go,1.84 Go,8.98 Go,Mine
Harry Potter et le Prisonnier d'Azkaban,8.0,/library/metadata/235513,2022-08-15,2004-05-31,8.32 Go,2.45 Go,8.32 Go,Mine
Harry Potter et les Reliques de la mort - 1ère partie,7.8,/library/metadata/235551,2022-08-15,2010-11-17,8.54 Go,1.79 Go,8.54 Go,Mine
